=== TABLE 1: Code Categories by First Digit ===
Primer dígito | Agrupación Tipo o serie a la cual pertenece el mensaje.
0 | Avisos
1 | Inicio del proceso
2 | Aceptaciones
3 | Intercambios de información
4 | Rehúses
5 | Bajas
6 | Interlocución
7 | Arbitraje / Información Penalizaciones
8 | Documentos en el formato original enviado
9 | Compensación

=== TABLE 0: Full Sequence Table (46 rows) ===
R0: Versión | Fecha | Modificaciones sobre versión anterior
R1: V01 | 30-9-07 | 
R2: V02 | 25-1-08 | Se introduce la comunicación 360-
R3: V03 | 27-3-08 | Flujos de comunicación del reglamento de Valencia (VAL): Se introducen nuevos me
R4: V04 | 12-6-08 | Flujos: El emisor de la comunicación 381 es el Centro de Servicios (CS) en los s
R5: V05 | 2-7-08 | Flujos: Se actualizan los periodos de caducidad del convenio SAS.
R6: V06 | 16-12-08 | Se introducen mensajes para el nuevo convenio ACESIMA. (Se marcan en rojo las mo
R7: V07 | 30-01-09 | Convenio ACESIMA: Se añade mensaje que permite a la Entidad Aseguradora, no auto
R8: V08 | 10-2-09 | Convenio Emergencias: Caducidad de 171 y 191 para Entidad es 271 en 30 días. Cad
R9: V09 | 17-3-09 | Se añade el mensaje 670- Envío a interlocutores, como respuesta a los mensajes d
R10: V10 | 15-4-09 | Convenio Privados y Acesima: Plazo de caducidad de 171, 172, 173 y 174 es 20 día
R11: V11 | 14-5-09 | Acción por caducidad de 821 y 822 es 271.
R12: V12 | 4-6-09 | Se incluye el Convenio de Emergencias del SAS.
R13: V13 | 13-5-10 | Se incluye los mensajes de Subcomisión / Comisión automatizada. Convenio de Asis
R14: V14 | 6-8-10 | Convenio de Asistencia Privada 2010. Plazo caducidad parte y factura son 30 días
R15: V15 | 16-9-10 | Convenio de Asistencia Privada 2010. Se elimina el Pago parcial. Mensajes elimin
R16: V16 | 20-4-11 | Subcomisión / Comisión: Convenio Asistencia/Emergencias Pública: Eliminada Impug
R17: V17 | 9-5-11 | Subcomisión / Comisión: Convenios Asistencia Pública Modular (Navarra, Valencia)
R18: V18 | 17-5-11 | Subcomisión / Comisión: La entidad envía aceptación de la factura tras la resolu
R19: V19 | 18-10-11 | Convenio de Asistencia Privada 2010 Incluido 371 como respuesta a 372
R20: V20 | 3-4-12 | Subcomisión / Comisión: La subcomisión/comisión puede solicitar documentación a 
R21: V21 | 25-9-12 | 869 CS Envía documentación aclaración Factura Implementado el envío de 869 en to
R22: V22 | 3-1-13 | Convenios de Navarra y Valencia: Reglamento común para ambos. Se identifica con 
R23: V23 | 27-3-13 | Convenio de Asistencia Privada 2013 Se incluye como respuesta a 667 el 281. (Fac
R24: V24 | 29-4-13 | Convenio de Asistencia Privada 2013 Se permite rechazo 481 y 486 sobre el 181 co
R25: V25 | 27-08-13 | 5.2. Se actualiza el cuadro de asociación de mensajes a tipo de documento, con l
R26: V26 | 17-3-14 | Convenios de Asistencia y Emergencias Públicas. Entidades no adheridas. 5. Inclu
R27: V27 | 24-9-14 | Convenio de Asistencia Privada (2010S). Entidades no adheridas. 5. Incluidos men
R28: V28 | 20-2-15 | Se permite el envío de nueva aceptación de PA (271) tras el envío de rechazo de 
R29: V29 | 3-11-15 | Nueva denominación de mensajes 672, 673. 672 - Fin gestión Parte en CAS. Gestion
R30: V30 | 2-2-16 | Emergencias Subcomisión: Eliminados mensajes de paso a Comisión y relacionados (
R31: V31 | 11-1-17 | Añadido Convenio de daño cerebral
R32: V32 | 14-8-17 | Convenio de asistencia privada (2010S): Añadido Parte de urgencias (mensajes 178
R33: V33 | 14-8-17 | Convenios de asistencia pública (APUBL): Añadidos mensajes 422, 423, 442 y 443.
R34: V34 | 8-3-18 | Expedientes de entidad no adherida a convenio (Parte 176): Se habilita paso a in
R35: V35 | 11-12-18 | Cambios convenio sanidad Privada 2019.
R36: V36 | 04-02-19 | Mensaje 301. Se incluye 181 como respuesta a 301 (para facturación de urgencia e
R37: V37 | 22-03-19 | Modificación de mensajes 652-653-662-663. Inclusión del mensaje 170 Nuevos mensa
R38: V38 | 12-09-19 | En las acciones de caducidades de rechazos de partes de urgencias, se sustituye 
R39: V38_1 | 01-09-20 | Nuevo mensaje 570 “Abandono de factura” para el convenio 2010T.
R40: V39 | 13-11-20 | Permitir a las entidades aseguradoras el inicio de alegaciones tanto de parte co
R41: V40 | 14-06-21 | Incluir los nuevos mensajes del 201DC para lesionados de alta especialización: 2
R42: V41 | 28-09-21 | Eliminación de los mensajes al no aplicarse en ningún convenio:  680 recurre res
R43: V41_1 | 26-12-23 | Mensajes Convenio 2023-2026 (2010U)
R44: V42 | 15-04-24 | Nuevos mensajes:  Mensajes del "Envío a subcomisión por disconformidad regulariz
R45: V43 | 01-12-25 | Nuevos mensajes del Convenio de Sanidad Pública 2026-2029  328 - Envío datos inf

=== TABLE 2 (228 rows) ===
Mensaje | Flujo | Origen | Destino
47 | Envío datos liquidación | CH | EA
101 | PA Urgencias | CH | EA
102 | PA urgencias modificado | CH | EA
170 | Parte de comunicación de lesiones | CS | EA
171 | Envío parte de asistencia | CH | EA
171 | Parte de primera Asistencia ambulatoria u hospitalaria. (descripción que aplica al convenio 2010T y  | CH | EA
172 | Envío nuevo parte de asistencia modificado | CH | EA
172 | PA ambulatorio modificado (descripción que aplica al convenio 2010T y 2010U) | CH | EA
173 | Envía parte de asistencia de reingreso. | CH | EA
173 | PA reingreso/PA continuación gestión lesionado. (descripción que aplica al convenio 2010T y 2010U) | CH | EA
174 | Envía parte de asistencia de reingreso modificado. | CH | EA
175 | Envío parte de asistencia informativo | CH/CS | EA
176 | Envío parte de asistencia de entidad no adherida a convenio | CH | EA
181 | Envío factura. | CH | EA
191 | Envío parte de traslado interhospitalario. | CH | EA
192 | Envío nuevo parte de traslado interhospitalario modificado | CH | EA
201 | Acepta parte de urgencias | EA | CH
202 | Acepta continuación tratamiento | EA | CH
203 | Acepta lesionado alta especialización | EA | CH
270 | Subcomisión acepta parte | CS | EA/CH
271 | Acepta el parte de asistencia. | EA | CH
272 | Comisión acepta parte | CS | EA/CH
275 | Subcomision acepta parte tras recurso | CS | EA/CH
280 | Subcomisión acepta factura | CS | EA/CH
281 | Acepta la factura. | EA | CH
284 | Comisión acepta factura | CS | EA/CH
285 | Comisión acepta pago | CS | EA/CH
287 | Subcomisión acepta pago total | CS | EA/CH
288 | Subcomisión acepta factura tras recurso | CS | EA/CH
301 | Comunica Continuación tratamiento | CH | EA
302 | Comunica cambio de diagnóstico | CH | EA
303 | Acepta cambio de diagnóstico | EA | CH
304 | Rechaza cambio de diagnóstico | EA | CH
305 | Solicita aclaraciones cambio de diagnóstico | EA | CH
306 | Envía aclaraciones cambio diagnóstico | CH
308 | Acepta rechazo de factura | CH
309 | No acepta rechazo de factura | CH
310 | Vencido plazo subcomisión | CS | CH
311 | Solicita informe médico de evolución | EA | CH
312 | Pendiente Informe de alta de urgencias | CS | CH
313 | Vencido plazo subcomisión factura | CS | CH
314 | Solicita envío hoja de firmas | EA | CH
315 | Solicito autorización pruebas diagnósticas | CH | EA
316 | Autorizo pruebas diagnósticas | EA | CH
317 | No autorizo pruebas diagnósticas | EA | CH
318 | Ampliación plazo. | EA | CH
319 | Acepto Infiltraciones-bloqueos facetarios, nerviosos. | EA | CH
320 | Rechazo Infiltraciones-bloqueos facetarios, nerviosos. | EA | CH
321 | Acepto ondas de choque radiales. | EA | CH
322 | Rechazo ondas de choque radiales. | EA | CH
323 | Acepto ondas de choque focales. | EA | CH
324 | Rechazo ondas de choque focales. | EA | CH
325 | Procede reducción de tarifas | CS | CH
326 | Subcomisión resuelve que procede el cambio de diagnóstico. | CS | CH
327 | Subcomisión resuelve que no procede el cambio de diagnóstico. | CS | CH
328 | Envío datos informe alta | CS | EA
329 | Información del informe alta | CC | EA
360 | Cambio de referencia del expediente | EA | CH
361 | EA solicita módulo reducido | EA | CH
362 | Solicita información aclaratoria. | EA | CH
363 | Envía información aclaratoria. | CH | EA
364 | CS confirma aplica módulo reducido | CH | EA
365 | Justificación de envío fuera de plazo. | CH | EA
366 | Documentación sin catalogar. | CH | EA
367 | Documentación sin catalogar | EA | CH
368 | Solicita aclaración factura | EA | CH
369 | Envía aclaración factura. | CH | EA
370 | Solicita autorización inicio tratamiento rehabilitador fuera termino municipal | CH | EA
371 | Autoriza tratamiento rehabilitador fuera del término municipal | EA | CH
372 | No autoriza tratamiento rehabilitador fuera del término municipal | EA | CH
373 | CS rechaza aplicar módulo reducido | CH | EA
374 | Justificante de no aseguramiento. | EA | CH
375 | Solicita aclaración declaración responsable | CCS | CH
376 | Envía aclaración declaración responsable | CH | CCS
377 | Envía información alegaciones parte | CH | EA
378 | Envía información alegaciones parte | EA | CH
379 | Envía información alegaciones factura | CH | EA
380 | Envía información alegaciones factura | EA | CH
381 | Entidad notifica pago de la factura | EA/CS | CH
383 | EA diálogo adicional aplicación módulo | EA | CH
384 | CS diálogo adicional aplicación módulo | CH | EA
387 | EA comunica límite del conductor | EA | CH
390 | EA envía aclaraciones Parte Asistencia, solicitud subcomisión | EA | CS
391 | CH envía aclaraciones Parte Asistencia, solicitud subcomisión | CH | CS
392 | CH envía aclaraciones Parte Asistencia, solicitud Comisión | CH | CS
393 | CH envía aclaraciones Factura, solicitud Comisión | CH | CS
394 | EA envía aclaraciones Factura, solicitud Comisión | EA | CS
395 | CH envía aclaraciones Factura, solicitud Comisión | CH | CS
398 | EA envía aclaraciones Parte Asistencia, solicitud Comisión | EA | CS
399 | EA envía aclaraciones Factura, solicitud Subcomisión | EA | CS
401 | Parte de urgencias no cumplimentado correctamente | EA | CH
403 | Rechaza lesionado alta especialización | EA | CH
421 | Rechaza declaración responsable | CCS | CH
422 | Rechaza parte, transcurrido plazo 72 h. (Traumatismo menor CV) | EA | CH
423 | Rechaza parte, lesionado no viaja en espacio destinado a personas | EA | CH
